adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,nome_no_dataset,data_no_dataset
False,/tDn1dA52bQH9B85vilHeU7C83W1.jpg,"[80, 18, 9648]",548,ja,羅生門,Four people recount different versions of the story of a man's murder and the rape of his wife.,4.3377,/vL7Xw04nFMHwnvXRFCmYYAzMUvY.jpg,1950-08-26,Rashomon,False,8.056,2367,Rashômon,1950
False,/foFq1RZWQIgFuCQ0nyYccywjFyX.jpg,"[18, 10749, 36]",531428,fr,Portrait de la jeune fille en feu,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",8.3304,/2LquGwEhbg3soxSCs9VNyh5VJd9.jpg,2019-09-18,Portrait of a Lady on Fire,False,8.1,2751,Portrait de la jeune fille en feu,2019
False,/5lAMQMWpXMsirvtLLvW7cJgEPkU.jpg,"[16, 18, 10749]",378064,ja,映画 聲の形,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",10.5328,/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,2016-09-17,A Silent Voice: The Movie,False,8.384,4202,Koe no katachi,2016
False,/jnFmHDHmPZrQ7vyHmxXHcoxp25j.jpg,"[53, 18, 10749]",290098,ko,아가씨,"1930s Korea, in the period of Japanese occupation, a new girl, Sookee, is hired as a handmaiden to a Japanese heiress, Hideko, who lives a secluded life on a large countryside estate with her domineering Uncle Kouzuki. But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed according to plan until Sookee and Hideko discover some unexpected emotions.",17.9164,/dLlH4aNHdnmf62umnInL8xPlPzw.jpg,2016-06-01,The Handmaiden,False,8.201,4012,Ah-ga-ssi,2016
False,/dHnki2Dh6lbOtfksrh8H5lg08f5.jpg,"[18, 53, 35]",265195,es,Relatos salvajes,"Injustice and the demands of the world can cause stress for many people. Some of them, however, explode. This includes a waitress serving a grouchy loan shark, an altercation between two motorists, an ill-fated wedding reception, and a wealthy businessman who tries to buy his family out of trouble.",3.6074,/ucFsh8uU0Lsw7zouQFaRrs2ElOs.jpg,2014-08-21,Wild Tales,False,7.869,3546,Relatos salvajes,2014
False,/4JuoO0XywrCDeHLy4kTB9FU5U2C.jpg,[18],265169,tr,Kış Uykusu,"Aydın is a hotel owner and a retired actor in rural Turkey. As winter emerges he begins navigating the conflicts within the relationships with his wife, sister and existence.",0.9565,/95j83qOqH3Ivz4RYkaSjGT0VSNr.jpg,2014-06-13,Winter Sleep,False,7.533,583,Kis Uykusu,2014
False,/Aa7iOVpdLgtwwtKXN6AfBQ57iHj.jpg,"[16, 10751, 18, 14]",110420,ja,おおかみこどもの雨と雪,"After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.",5.7233,/3Nllh6JgcrFdtOn6iFOWHudNInd.jpg,2012-07-21,Wolf Children,False,8.22,2369,Ôkami kodomo no Ame to Yuki,2012
False,/zDrD31SwwykkSGr4oN6Zy9XBeF5.jpg,"[35, 18, 10749]",120942,hi,तेरी मेरी कहानी,"A couple lives though three different lives over different eras as destiny conspires to make them fall in love with each other, against all odds.",1.5595,/rUo1qX8RklC3FfKnkYAXffSAQ1O.jpg,2012-06-22,Teri Meri Kahaani,False,5.955,33,Kahaani,2012
False,/tmbwscy8OvNMkg4CFOi8eEO523b.jpg,"[18, 53]",19703,hi,A Wednesday!,"Prakash Rathod, a retired police commissioner recounts the most memorable case of his career wherein he was informed about a bomb scare in Mumbai by an ordinary commoner.",1.3531,/gVUSxtJM3arL5VIUIRNYde20EF0.jpg,2008-09-05,A Wednesday!,False,6.961,335,A Wednesday,2008
False,/AoWW2J4PoDe0IPuCVQOk50QFS4D.jpg,[18],16804,ja,おくりびと,"Daigo, a cellist, is laid off from his orchestra and moves with his wife back to his small hometown where the living is cheaper. Thinking he’s applying for a job at a travel agency he finds he’s being interviewed for work with departures of a more permanent nature – as an undertaker’s assistant.",2.7525,/mms4nMZuPYOyEengRxCaEk7SXMd.jpg,2008-09-13,Departures,False,7.842,865,Okuribito,2008
False,/oqaKsofz49zjNhi48sxQIq8U73X.jpg,"[28, 12, 18, 36, 10752]",11658,ko,태극기 휘날리며,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",3.7574,/vyG8qpimh3XSlxc6OmPq8LJRJl.jpg,2004-02-05,Tae Guk Gi: The Brotherhood of War,False,7.99,723,Taegukgi hwinalrimyeo,2004
False,/2NArMoObkAbnIPvqlHC3gRGsfBb.jpg,"[80, 18, 53]",11423,ko,살인의 추억,"During the late 1980s, two detectives in a South Korean province attempt to solve the nation's first series of rape-and-murder cases.",8.5568,/jcgUjx1QcupGzjntTVlnQ15lHqy.jpg,2003-04-25,Memories of Murder,False,8.061,4173,Salinui chueok,2003
False,/tJTRLtdKPeVT8HORSbeHpdb8BKg.jpg,"[18, 53]",55,es,Amores perros,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.",2.7416,/n3QrQvLM7lZ9AGExvG89OREkCXW.jpg,2000-06-16,Amores Perros,False,7.63,2736,Amores perros,2000
