genre_ids,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,nome_no_dataset,data_no_dataset
"[80, 53]",247,en,The Killing,"Career criminal Johnny Clay recruits a sharpshooter, a crooked police officer, a bartender and a betting teller named George, among others, for one last job before he goes straight and gets married. But when George tells his restless wife about the scheme to steal millions from the racetrack where he works, she hatches a plot of her own.",3.144,1956-06-06,The Killing,7.7,1613,The Killing,1956
"[80, 18, 53]",3112,en,The Night of the Hunter,"In Depression-era West Virginia, a serial-killing preacher hunts two young children who know the whereabouts of a stash of money.",2.9221,1955-07-27,The Night of the Hunter,7.9,1698,The Night of the Hunter,1955
[18],405,it,La strada,"When Gelsomina, a naïve young woman, is purchased from her impoverished mother by brutish circus strongman Zampanò to be his wife and partner, she loyally endures her husband's coldness and abuse as they travel the Italian countryside performing together. Soon Zampanò must deal with his jealousy and conflicted feelings about Gelsomina when she finds a kindred spirit in Il Matto, the carefree circus fool, and contemplates leaving Zampanò.",1.2599,1954-09-23,La Strada,7.912,1107,La Strada,1954
"[35, 18, 10752]",632,en,Stalag 17,"It's a dreary Christmas 1944 for the American POWs in Stalag 17 and the men in Barracks 4, all sergeants, have to deal with a grave problem—there seems to be a security leak.",1.5761,1953-05-29,Stalag 17,7.691,627,Stalag 17,1953
"[10749, 35, 18]",804,en,Roman Holiday,"Overwhelmed by her suffocating schedule, touring European princess Ann takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley, who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.",6.0098,1953-08-26,Roman Holiday,7.882,2144,Roman Holiday,1953
"[18, 53]",702,en,A Streetcar Named Desire,"A disturbed, aging Southern belle moves in with her sister for solace — but being face-to-face with her brutish brother-in-law accelerates her downward spiral.",2.1752,1951-09-19,A Streetcar Named Desire,7.6,1409,A Streetcar Named Desire,1951
"[18, 10749, 9648]",17057,en,In a Lonely Place,"A violent screenwriter and a female neighbor fall in love after she clears him of murder, but she begins to have second thoughts.",1.6928,1950-05-17,In a Lonely Place,7.604,620,In a Lonely Place,1950
"[35, 80]",11898,en,Kind Hearts and Coronets,"When his mother eloped with an Italian opera singer, Louis Mazzini was cut off from her aristocratic family. After the family refuses to let her be buried in the family mausoleum, Louis avenges his mother's death by attempting to murder every family member who stands between himself and the family fortune. But when he finds himself torn between his longtime love and the widow of one of his victims, his plans go awry.",0.8436,1949-06-21,Kind Hearts and Coronets,7.648,574,Kind Hearts and Coronets,1949
"[53, 80, 18]",1580,en,Rope,Two young men attempt to prove they committed the perfect murder by hosting a dinner party for the family of a classmate they just strangled to death.,2.8466,1948-03-11,Rope,7.942,2840,Rope,1948
"[80, 53]",678,en,Out of the Past,The peaceful life of a gas station owner is disrupted when a man from his past arrives in town and forces him to return to the dark world he had tried to escape.,1.5583,1947-11-25,Out of the Past,7.6,617,Out of the Past,1947
"[18, 10749]",851,en,Brief Encounter,"Returning home from a shopping trip to a nearby town, bored suburban housewife Laura Jesson is thrown by happenstance into an acquaintance with virtuous doctor Alec Harvey. Their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected, and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love.",1.2145,1945-11-24,Brief Encounter,7.7,657,Brief Encounter,1945
"[18, 9648]",1939,en,Laura,A police detective falls in love with the woman whose murder he's investigating.,5.1482,1944-11-26,Laura,7.626,850,Laura,1944
"[18, 10749]",887,en,The Best Years of Our Lives,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare.",3.0007,1946-12-25,The Best Years of Our Lives,7.8,692,The Best Years of Our Lives,1946
"[9648, 80, 53]",963,en,The Maltese Falcon,"A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette.",3.541,1941-10-18,The Maltese Falcon,7.709,1771,The Maltese Falcon,1941
[18],596,en,The Grapes of Wrath,"Tom Joad returns to his home after a jail sentence to find his family kicked out of their farm due to foreclosure. He catches up with them on his Uncle’s farm, and joins them the next day as they head for California and a new life... Hopefully.",3.4417,1940-03-15,The Grapes of Wrath,7.816,1040,The Grapes of Wrath,1940
"[12, 14, 10751]",630,en,The Wizard of Oz,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",12.0664,1939-08-15,The Wizard of Oz,7.591,5822,The Wizard of Oz,1939
"[35, 9648, 80]",3529,en,The Thin Man,A husband and wife detective team takes on the search for a missing inventor and almost get killed for their efforts.,2.8222,1934-05-25,The Thin Man,7.5,495,The Thin Man,1934
