adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,nome_no_dataset,data_no_dataset
False,/6dyqfaPdeM5Z22ylw9ZTyjROBo7.jpg,"[18, 36]",45269,en,The King's Speech,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",7.9826,/pVNKXVQFukBaCz6ML7GH3kiPlQP.jpg,2010-11-26,The King's Speech,False,7.735,8974,The King's Speech,2010
False,/k2ZdjMXmqnw4RJeh8cwxCvcznJZ.jpg,[18],50014,en,The Help,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",11.0953,/3kmfoWWEc9Vtyuaf9v5VipRgdjx.jpg,2011-08-09,The Help,False,8.205,8664,The Help,2011
False,/en971MEXui9diirXlogOrPKmsEn.jpg,"[28, 12, 35]",293660,en,Deadpool,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",18.2101,/3E53WEZJqP6aM84D8CckXx4pIHw.jpg,2016-02-09,Deadpool,False,7.622,31876,Deadpool,2016
False,/rACXg4zadOTEQKceu0zViohXwCb.jpg,"[35, 18, 10749]",15977,hi,देव .डी,The son of a wealthy businessman finds solace in drugs and alcohol when he breaks up with his childhood love.,2.1485,/l6E0Az2mjhnhInKvYL0cpuotYEI.jpg,2009-02-06,Dev.D,False,6.959,135,Dev.D,2009
False,/zGCnIADWwpjGllYv8DgT8HIuIQl.jpg,"[18, 10749]",26022,hi,My Name Is Khan,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.",2.1781,/5Y36lCiNyyV71mjq6LavgiggbhT.jpg,2010-02-10,My Name Is Khan,False,8.034,1365,My Name Is Khan,2010
False,/1wZoVT9RJsZmNjg8CecXqSgFUd9.jpg,"[18, 10749]",12405,en,Slumdog Millionaire,"A teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",6.6374,/5leCCi7ZF0CawAfM5Qo2ECKPprc.jpg,2008-11-12,Slumdog Millionaire,False,7.73,10898,Slumdog Millionaire,2008
False,/qxTw8OKJLRX1Xb5nR5CcIDnLKoq.jpg,"[18, 53, 27]",44214,en,Black Swan,"The story of Nina, a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her retired ballerina mother Erica who zealously supports her daughter's professional ambition. When artistic director Thomas Leroy decides to replace prima ballerina Beth MacIntyre for the opening production of their new season, Swan Lake, Nina is his first choice.",11.631,/viWheBd44bouiLCHgNMvahLThqx.jpg,2010-12-03,Black Swan,False,7.687,14980,Black Swan,2010
False,/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg,"[878, 28, 12]",24428,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",42.9513,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,2012-04-25,The Avengers,False,7.795,32866,The Avengers,2012
False,/6kqybERm5qi2jGpu8I7DaQPxpSU.jpg,"[16, 18]",2011,fr,Persepolis,"In 1970s Iran, Marjane 'Marji' Satrapi watches events through her young eyes and her idealistic family of a long dream being fulfilled of the hated Shah's defeat in the Iranian Revolution of 1979. However as Marji grows up, she witnesses first hand how the new Iran, now ruled by Islamic fundamentalists, has become a repressive tyranny on its own.",1.709,/aU8i2QAdTyRR1nYb36Gq51xXP8p.jpg,2007-06-27,Persepolis,False,7.887,2031,Persepolis,2007
False,/sbVKj98cq0FztCukzu47bu0H8o7.jpg,"[18, 36]",152532,en,Dallas Buyers Club,"Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.",5.0639,/7Fdh7gUq3plvQqxRbNYhWvDABXA.jpg,2013-11-01,Dallas Buyers Club,False,7.92,8714,Dallas Buyers Club,2013
